account_name,tweet,time_posted,compound_score,positive_score,neutral_score,negative_score
BBC,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",Sat Jun 30 19:27:05 +0000 2018,0.3802,0.166,0.834,0.0
BBC,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",Sat Jun 30 19:27:05 +0000 2018,-0.3818,0.0,0.88,0.12
BBC,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",Sat Jun 30 19:27:05 +0000 2018,0.5509,0.165,0.835,0.0
BBC,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,Sat Jun 30 19:27:05 +0000 2018,0.5719,0.134,0.866,0.0
BBC,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",Sat Jun 30 19:27:05 +0000 2018,0.891,0.315,0.685,0.0
BBC,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,Sat Jun 30 19:27:05 +0000 2018,0.4404,0.228,0.659,0.114
BBC,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",Sat Jun 30 19:27:05 +0000 2018,0.1007,0.09,0.91,0.0
BBC,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",Sat Jun 30 19:27:05 +0000 2018,-0.4404,0.109,0.683,0.208
BBC,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,Sat Jun 30 19:27:05 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",Sat Jun 30 18:28:48 +0000 2018,0.5707,0.15,0.85,0.0
BBC,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,Sat Jun 30 18:28:48 +0000 2018,-0.5106,0.153,0.491,0.356
BBC,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",Sat Jun 30 18:28:48 +0000 2018,-0.6705,0.0,0.766,0.234
BBC,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",Sat Jun 30 18:28:48 +0000 2018,0.3802,0.166,0.834,0.0
BBC,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",Sat Jun 30 18:28:48 +0000 2018,-0.3818,0.0,0.88,0.12
BBC,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",Sat Jun 30 18:28:48 +0000 2018,0.5509,0.165,0.835,0.0
BBC,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,Sat Jun 30 18:28:48 +0000 2018,0.5719,0.134,0.866,0.0
BBC,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",Sat Jun 30 18:28:48 +0000 2018,0.891,0.315,0.685,0.0
BBC,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,Sat Jun 30 18:28:48 +0000 2018,0.4404,0.228,0.659,0.114
BBC,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",Sat Jun 30 18:28:48 +0000 2018,0.1007,0.09,0.91,0.0
BBC,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",Sat Jun 30 18:28:48 +0000 2018,-0.4404,0.109,0.683,0.208
BBC,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,Sat Jun 30 18:28:48 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: FT:

#URU 2 - 1 #POR

Portugal, the reigning European champions, are out of the #WorldCup!

Uruguay will face #FRA in the q…",Sat Jun 30 18:12:00 +0000 2018,0.5707,0.15,0.85,0.0
BBC,RT @bbcthree: Would you criticise a stranger like you criticise yourself? https://t.co/VXiSiSZQ8n,Sat Jun 30 18:12:00 +0000 2018,-0.5106,0.153,0.491,0.356
BBC,"With plastic protests around the country and a proposed ban on cotton buds, is plastic becoming the ‘new fur’?
👉… https://t.co/i5U2OGUYET",Sat Jun 30 18:12:00 +0000 2018,-0.6705,0.0,0.766,0.234
BBC,RT @BBCWorld: Unesco announces new heritage sites around the world https://t.co/8UoJausebb,Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,"😨👀 This AI software uses wireless signals to watch you... even through walls.
(via @BBCClick) https://t.co/T7ne9ZYpX0",Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💪👕 Doing laundry on Fair Isle is not for the faint-hearted!
(via @BBCScotland) https://t.co/EAgT1mt6Ak",Sat Jun 30 18:12:00 +0000 2018,0.3802,0.166,0.834,0.0
BBC,🎧✊ DJ Switch has big plans for the future. https://t.co/b5CY3vEX7Q,Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @5liveSport: What a stat 🔥⚽️

Mbappe is the first teenager to score at least twice in a #WorldCup match since Pele 🤩👏

#FRA 4-2 #ARG

Li…",Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,"💄 Does your lipstick threaten the future of one of our closest living relatives?
👉 https://t.co/ldRFuFMJ23 https://t.co/pFccqj1CXS",Sat Jun 30 18:12:00 +0000 2018,-0.3818,0.0,0.88,0.12
BBC,"RT @Wimbledon: ""It was one of the most emotional matches I played in my career. That final had a big impact on my tennis and personal life""…",Sat Jun 30 18:12:00 +0000 2018,0.5509,0.165,0.835,0.0
BBC,"🦀😲 The 'dresser crab' decorates itself with seaweed, sponges and pearls to ward off predators!
#QI https://t.co/l4ziAmbx92",Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,RT @bbcideas: Another unsung heroine you need to know. The life of Mary Anning - told using sand and pebbles from the beach where she worke…,Sat Jun 30 18:12:00 +0000 2018,0.5719,0.134,0.866,0.0
BBC,"RT @BBCBreakfast: 🐻 The first Sun Bear to ever born in the UK! 😍
How amazing is this little miracle bear? https://t.co/wyRRiXO7eX",Sat Jun 30 18:12:00 +0000 2018,0.891,0.315,0.685,0.0
BBC,🌲🌳 Where exactly did Iceland's trees go? https://t.co/Trrrl2KTg2,Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,😂 A colour guide for your next spray tan… https://t.co/MuUMV7qJDH,Sat Jun 30 18:12:00 +0000 2018,0.4404,0.228,0.659,0.114
BBC,"🚄😽🎀 All aboard Japan's new #HelloKitty themed bullet train!
👉 https://t.co/8wiL4MDt0W https://t.co/qTplQ9GNdw",Sat Jun 30 18:12:00 +0000 2018,0.1007,0.09,0.91,0.0
BBC,"RT @BBCWalesNews: ❤️️ Nothing was going to stop World War Two pilot Ian Kerr-Bonner from saying a final goodbye to his oldest friend

#Arme…",Sat Jun 30 18:12:00 +0000 2018,-0.4404,0.109,0.683,0.208
BBC,🌳 How trees secretly talk to each other.  https://t.co/IuLAvWPwKj,Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,"RT @bbc5live: It’s World Asteroid Day🚀

Abigail Harrison, astrobiologist and aspiring astronaut answered all of @chriswarburton_  and 8 yea…",Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
BBC,🤖😷 Claims that a chatbot can diagnose medical conditions as accurately as a GP have sparked a row between the softw… https://t.co/USXmTRpcyy,Sat Jun 30 18:12:00 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,Would you get behind the wheel if you were staring down an AK-47? This Texas company can help give you the confiden… https://t.co/k9ooMxbAT4,Sat Jun 30 21:20:06 +0000 2018,0.4019,0.109,0.891,0.0
CBSNews,"John Whitbeck, the chairman of the Republican Party of Virginia, is resigning after more than three years in his po… https://t.co/z5TULQsc9w",Sat Jun 30 21:20:06 +0000 2018,0.2023,0.114,0.805,0.081
CBSNews,President Trump says he has received assurances from King Salman of Saudi Arabia that the kingdom will increase oil… https://t.co/4nRNlVp4HK,Sat Jun 30 21:20:06 +0000 2018,0.5719,0.207,0.793,0.0
CBSNews,"His work with Pavement is considered some of the most influential music of the 90's. Now, Stephen Malkmus has a pec… https://t.co/mp4N94yTht",Sat Jun 30 21:20:06 +0000 2018,0.4927,0.138,0.862,0.0
CBSNews,Arnold Schwarzenegger's response to being called a snowflake was too chill  https://t.co/bafRFtHLyO https://t.co/soR3PWu7np,Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"President Trump said he hopes that Democrats who are calling to abolish ICE ""keep thinking about it"" because ""they'… https://t.co/fDMKfVLO1U",Sat Jun 30 21:20:06 +0000 2018,0.4215,0.128,0.872,0.0
CBSNews,"From New York to L.A., hundreds of thousands took to the streets as part of the #FamiliesBelongTogetherMarch to pro… https://t.co/Ygdvz5ZHcD",Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"When he lost his leg in combat, U.S. Army Specialist Anthony Farve didn't know if he'd ever be part of a team again… https://t.co/xb2jOTEHs8",Sat Jun 30 21:20:06 +0000 2018,-0.5719,0.0,0.817,0.183
CBSNews,Their numbers dropped from almost 600 in 1997 to just 30 today. Marine biologists and conservationists are scrambli… https://t.co/vVpChuFzII,Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"On Sunday, Massachusetts will become the first East Coast state to allow the sale of recreational marijuana… https://t.co/TExVyPsRrz",Sat Jun 30 21:20:06 +0000 2018,0.2263,0.101,0.899,0.0
CBSNews,"The U.S. Department of Education estimates at least 32,000 college students were homeless in 2017… https://t.co/cjcoyiAo5H",Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"WATCH: Lin-Manuel Miranda performs at the ""Families Belong Together"" immigration march in Washington, D.C.… https://t.co/fVHzhBt0kB",Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"An orphaned bear cub burned in a Colorado wildfire is being nursed back to health, and is expected to be reintroduc… https://t.co/N5JPkIWwAf",Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"""Once my family was taken, I became fully aware that my community matters less to some people. That we are treated… https://t.co/A3pZe1cDQT",Sat Jun 30 21:20:06 +0000 2018,0.0258,0.052,0.948,0.0
CBSNews,"""I am here today as a woman who as a young child was separated from her family. I am here today to be painfully hon… https://t.co/DHrobAEA8d",Sat Jun 30 21:20:06 +0000 2018,-0.5267,0.0,0.866,0.134
CBSNews,Many anti-Trump activists are driving the hashtag #abolishICE on Twitter— now potential Democratic contenders in 20… https://t.co/e1o2Fv695g,Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"""I live with the constant fear of losing my mom to deportation. My mom is strong, beautiful and brave. She is also… https://t.co/RUg3b7oEb4",Sat Jun 30 21:20:06 +0000 2018,0.7003,0.308,0.523,0.169
CBSNews,"Leah, a 12-year-old girl from Miami, addresses D.C. crowd: ""I don't understand why they are being so mean to us chi… https://t.co/YWdJs8jyRN",Sat Jun 30 21:20:06 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"""Our government also continues to separate U.S. citizen children like me from their parents every day. This is evil… https://t.co/jNcHuQob2l",Sat Jun 30 21:20:06 +0000 2018,0.3612,0.116,0.884,0.0
CBSNews,"Syrian-American woman tells crowd in Washington, D.C.: ""For those of you who are lucky enough to not have been targ… https://t.co/2AsfGqFjfE",Sat Jun 30 21:20:06 +0000 2018,0.4215,0.123,0.877,0.0
CBSNews,Would you get behind the wheel if you were staring down an AK-47? This Texas company can help give you the confiden… https://t.co/k9ooMxbAT4,Sat Jun 30 21:00:02 +0000 2018,0.4019,0.109,0.891,0.0
CBSNews,"John Whitbeck, the chairman of the Republican Party of Virginia, is resigning after more than three years in his po… https://t.co/z5TULQsc9w",Sat Jun 30 21:00:02 +0000 2018,0.2023,0.114,0.805,0.081
CBSNews,President Trump says he has received assurances from King Salman of Saudi Arabia that the kingdom will increase oil… https://t.co/4nRNlVp4HK,Sat Jun 30 21:00:02 +0000 2018,0.5719,0.207,0.793,0.0
CBSNews,"His work with Pavement is considered some of the most influential music of the 90's. Now, Stephen Malkmus has a pec… https://t.co/mp4N94yTht",Sat Jun 30 21:00:02 +0000 2018,0.4927,0.138,0.862,0.0
CBSNews,Arnold Schwarzenegger's response to being called a snowflake was too chill  https://t.co/bafRFtHLyO https://t.co/soR3PWu7np,Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"President Trump said he hopes that Democrats who are calling to abolish ICE ""keep thinking about it"" because ""they'… https://t.co/fDMKfVLO1U",Sat Jun 30 21:00:02 +0000 2018,0.4215,0.128,0.872,0.0
CBSNews,"From New York to L.A., hundreds of thousands took to the streets as part of the #FamiliesBelongTogetherMarch to pro… https://t.co/Ygdvz5ZHcD",Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"When he lost his leg in combat, U.S. Army Specialist Anthony Farve didn't know if he'd ever be part of a team again… https://t.co/xb2jOTEHs8",Sat Jun 30 21:00:02 +0000 2018,-0.5719,0.0,0.817,0.183
CBSNews,Their numbers dropped from almost 600 in 1997 to just 30 today. Marine biologists and conservationists are scrambli… https://t.co/vVpChuFzII,Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"On Sunday, Massachusetts will become the first East Coast state to allow the sale of recreational marijuana… https://t.co/TExVyPsRrz",Sat Jun 30 21:00:02 +0000 2018,0.2263,0.101,0.899,0.0
CBSNews,"The U.S. Department of Education estimates at least 32,000 college students were homeless in 2017… https://t.co/cjcoyiAo5H",Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"WATCH: Lin-Manuel Miranda performs at the ""Families Belong Together"" immigration march in Washington, D.C.… https://t.co/fVHzhBt0kB",Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"An orphaned bear cub burned in a Colorado wildfire is being nursed back to health, and is expected to be reintroduc… https://t.co/N5JPkIWwAf",Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"""Once my family was taken, I became fully aware that my community matters less to some people. That we are treated… https://t.co/A3pZe1cDQT",Sat Jun 30 21:00:02 +0000 2018,0.0258,0.052,0.948,0.0
CBSNews,"""I am here today as a woman who as a young child was separated from her family. I am here today to be painfully hon… https://t.co/DHrobAEA8d",Sat Jun 30 21:00:02 +0000 2018,-0.5267,0.0,0.866,0.134
CBSNews,Many anti-Trump activists are driving the hashtag #abolishICE on Twitter— now potential Democratic contenders in 20… https://t.co/e1o2Fv695g,Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"""I live with the constant fear of losing my mom to deportation. My mom is strong, beautiful and brave. She is also… https://t.co/RUg3b7oEb4",Sat Jun 30 21:00:02 +0000 2018,0.7003,0.308,0.523,0.169
CBSNews,"Leah, a 12-year-old girl from Miami, addresses D.C. crowd: ""I don't understand why they are being so mean to us chi… https://t.co/YWdJs8jyRN",Sat Jun 30 21:00:02 +0000 2018,0.0,0.0,1.0,0.0
CBSNews,"""Our government also continues to separate U.S. citizen children like me from their parents every day. This is evil… https://t.co/jNcHuQob2l",Sat Jun 30 21:00:02 +0000 2018,0.3612,0.116,0.884,0.0
CBSNews,"Syrian-American woman tells crowd in Washington, D.C.: ""For those of you who are lucky enough to not have been targ… https://t.co/2AsfGqFjfE",Sat Jun 30 21:00:02 +0000 2018,0.4215,0.123,0.877,0.0
